well,monster,absorbance
A1,NC,0.747
A2,NC,0.738
A3,tryp100,0.762
A4,tryp100,0.838
A5,tryp100,0.818
A6,tryp100,0.785
A7,tryp100,0.859
A8,tryp100,0.898
A9,tryp100,0.880
A10,tryp100,0.862
A11,tryp100,0.828
A12,tryp100,0.842
B1,dmem,0.764
B2,dmem,0.715
B3,tryp50,0.746
B4,tryp50,0.915
B5,tryp50,0.926
B6,tryp50,0.935
B7,tryp50,0.980
B8,tryp50,0.986
B9,tryp50,0.954
B10,tryp50,1.016
B11,tryp50,1.014
B12,tryp50,1.062
C1,PC,0.744
C2,PC,0.727
C3,tryp25,0.726
C4,tryp25,0.746
C5,tryp25,0.711
C6,tryp25,0.717
C7,tryp25,0.788
C8,tryp25,0.765
C9,tryp25,0.804
C10,tryp25,0.785
C11,tryp25,0.751
C12,tryp25,0.817
D1,pep_cas,0.707
D2,pep_cas,0.682
D3,tryp12,0.726
D4,tryp12,0.702
D5,tryp12,0.738
D6,tryp12,0.715
D7,tryp12,0.754
D8,tryp12,0.819
D9,tryp12,0.742
D10,tryp12,0.803
D11,tryp12,0.780
D12,tryp12,0.829
E1,pan_cas,0.720
E2,pan_cas,0.675
E3,pep,0.823
E4,pep,0.782
E5,pep,0.788
E6,pep,0.749
E7,pep,0.758
E8,pep,0.738
E9,pep,0.842
E10,pep,0.880
E11,pep,0.807
E12,pep,1.052
F1,pept_cas,0.823
F2,pept_cas,0.827
F3,pan,0.791
F4,pan,0.875
F5,pan,0.950
F6,pan,1.006
F7,pan,0.930
F8,pan,0.998
F9,pan,1.354
F10,pan,1.020
F11,pan,1.051
F12,pan,1.099
G1,pept_cas,0.886
G2,pept_cas,0.777
G3,pep_pan,0.691
G4,pep_pan,0.723
G5,pep_pan,0.704
G6,pep_pan,0.731
G7,pep_pan,0.753
G8,pep_pan,0.781
G9,pep_pan,0.727
G10,pep_pan,0.808
G11,pep_pan,0.819
G12,pep_pan,0.835
H1,pept_tryp,3.500
H2,pept_tryp,0.708
H3,,0.648
H4,,0.796
H5,,0.741
H6,,0.770
H7,,0.766
H8,,0.782
H9,,0.774
H10,,0.888
H11,,0.911
H12,,0.966
